,dataset,workload,query_index,index_name,index_params,time_s,distcomp,recall,target_recall
15,glove-angular-104-1183514,"Annealing(rc, medium)",7,messi,,,1.153846153846154,1.0,
16,glove-angular-104-1183514,"Annealing(rc, medium)",8,messi_apprx,,,2.632317501427626e-05,,
17,glove-angular-104-1183514,"Annealing(rc, medium)",8,messi,,,1.1538444639633134,1.0,
18,glove-angular-104-1183514,"Annealing(rc, medium)",9,messi_apprx,,,2.2423445382531632e-05,,
19,glove-angular-104-1183514,"Annealing(rc, medium)",9,messi,,,1.153846153846154,1.0,
0,glove-angular-104-1183514,"Annealing(rc, hard)",0,messi_apprx,,,1.6573850934914683e-05,,
1,glove-angular-104-1183514,"Annealing(rc, hard)",0,messi,,,1.153846153846154,1.0,
2,glove-angular-104-1183514,"Annealing(rc, hard)",1,messi_apprx,,,1.2674121303170051e-05,,
3,glove-angular-104-1183514,"Annealing(rc, hard)",1,messi,,,1.153846153846154,1.0,
4,glove-angular-104-1183514,"Annealing(rc, hard)",2,messi_apprx,,,1.754878334285084e-05,,
5,glove-angular-104-1183514,"Annealing(rc, hard)",2,messi,,,1.153846153846154,1.0,
6,glove-angular-104-1183514,"Annealing(rc, hard)",3,messi_apprx,,,1.8523715750787e-05,,
7,glove-angular-104-1183514,"Annealing(rc, hard)",3,messi,,,1.153846153846154,1.0,
8,glove-angular-104-1183514,"Annealing(rc, hard)",4,messi_apprx,,,2.924797223808473e-05,,
9,glove-angular-104-1183514,"Annealing(rc, hard)",4,messi,,,1.153846153846154,1.0,
10,glove-angular-104-1183514,"Annealing(rc, hard)",5,messi_apprx,,,2.0473580566659314e-05,,
11,glove-angular-104-1183514,"Annealing(rc, hard)",5,messi,,,1.153846153846154,1.0,
12,glove-angular-104-1183514,"Annealing(rc, hard)",6,messi_apprx,,,2.4373310198403942e-05,,
13,glove-angular-104-1183514,"Annealing(rc, hard)",6,messi,,,1.153846153846154,1.0,
14,glove-angular-104-1183514,"Annealing(rc, hard)",7,messi_apprx,,,1.8523715750787e-05,,
15,glove-angular-104-1183514,"Annealing(rc, hard)",7,messi,,,1.153846153846154,1.0,
16,glove-angular-104-1183514,"Annealing(rc, hard)",8,messi_apprx,,,3.3147701869829366e-05,,
17,glove-angular-104-1183514,"Annealing(rc, hard)",8,messi,,,1.153846153846154,1.0,
18,glove-angular-104-1183514,"Annealing(rc, hard)",9,messi_apprx,,,2.4373310198403942e-05,,
19,glove-angular-104-1183514,"Annealing(rc, hard)",9,messi,,,1.153846153846154,1.0,
0,nytimes-angular-256-289761,"Annealing(rc, easy)",0,messi_apprx,,,2.5667705453805032e-05,,
1,nytimes-angular-256-289761,"Annealing(rc, easy)",0,messi,,,1.0625,1.0,
2,nytimes-angular-256-289761,"Annealing(rc, easy)",1,messi_apprx,,,1.466726025931716e-05,,
3,nytimes-angular-256-289761,"Annealing(rc, easy)",1,messi,,,1.0625,1.0,
4,nytimes-angular-256-289761,"Annealing(rc, easy)",2,messi_apprx,,,1.100044519448787e-05,,
5,nytimes-angular-256-289761,"Annealing(rc, easy)",2,messi,,,1.0625,1.0,
6,nytimes-angular-256-289761,"Annealing(rc, easy)",3,messi_apprx,,,1.100044519448787e-05,,
7,nytimes-angular-256-289761,"Annealing(rc, easy)",3,messi,,,1.0625,1.0,
8,nytimes-angular-256-289761,"Annealing(rc, easy)",4,messi_apprx,,,1.466726025931716e-05,,
9,nytimes-angular-256-289761,"Annealing(rc, easy)",4,messi,,,1.0625,1.0,
10,nytimes-angular-256-289761,"Annealing(rc, easy)",5,messi_apprx,,,1.833407532414645e-05,,
11,nytimes-angular-256-289761,"Annealing(rc, easy)",5,messi,,,1.0625,1.0,
12,nytimes-angular-256-289761,"Annealing(rc, easy)",6,messi_apprx,,,1.466726025931716e-05,,
13,nytimes-angular-256-289761,"Annealing(rc, easy)",6,messi,,,1.0625,1.0,
14,nytimes-angular-256-289761,"Annealing(rc, easy)",7,messi_apprx,,,3.6668150648292895e-06,,
15,nytimes-angular-256-289761,"Annealing(rc, easy)",7,messi,,,1.0625,1.0,
16,nytimes-angular-256-289761,"Annealing(rc, easy)",8,messi_apprx,,,7.333630129658581e-06,,
17,nytimes-angular-256-289761,"Annealing(rc, easy)",8,messi,,,1.0625,1.0,
18,nytimes-angular-256-289761,"Annealing(rc, easy)",9,messi_apprx,,,1.100044519448787e-05,,
19,nytimes-angular-256-289761,"Annealing(rc, easy)",9,messi,,,1.0625,1.0,
0,nytimes-angular-256-289761,"Annealing(rc, medium)",0,messi_apprx,,,1.833407532414645e-05,,
1,nytimes-angular-256-289761,"Annealing(rc, medium)",0,messi,,,1.0625,1.0,
2,nytimes-angular-256-289761,"Annealing(rc, medium)",1,messi_apprx,,,2.5667705453805032e-05,,
3,nytimes-angular-256-289761,"Annealing(rc, medium)",1,messi,,,1.0625,1.0,
4,nytimes-angular-256-289761,"Annealing(rc, medium)",2,messi_apprx,,,1.100044519448787e-05,,
5,nytimes-angular-256-289761,"Annealing(rc, medium)",2,messi,,,1.0625,1.0,
6,nytimes-angular-256-289761,"Annealing(rc, medium)",3,messi_apprx,,,2.200089038897574e-05,,
7,nytimes-angular-256-289761,"Annealing(rc, medium)",3,messi,,,1.0625,1.0,
8,nytimes-angular-256-289761,"Annealing(rc, medium)",4,messi_apprx,,,2.9334520518634323e-05,,
9,nytimes-angular-256-289761,"Annealing(rc, medium)",4,messi,,,1.0625,1.0,
10,nytimes-angular-256-289761,"Annealing(rc, medium)",5,messi_apprx,,,7.333630129658581e-06,,
11,nytimes-angular-256-289761,"Annealing(rc, medium)",5,messi,,,1.0625,1.0,
12,nytimes-angular-256-289761,"Annealing(rc, medium)",6,messi_apprx,,,1.833407532414645e-05,,
13,nytimes-angular-256-289761,"Annealing(rc, medium)",6,messi,,,1.0625,1.0,
14,nytimes-angular-256-289761,"Annealing(rc, medium)",7,messi_apprx,,,7.333630129658581e-06,,
15,nytimes-angular-256-289761,"Annealing(rc, medium)",7,messi,,,1.0625,1.0,
16,nytimes-angular-256-289761,"Annealing(rc, medium)",8,messi_apprx,,,7.333630129658581e-06,,
17,nytimes-angular-256-289761,"Annealing(rc, medium)",8,messi,,,1.0625,1.0,
18,nytimes-angular-256-289761,"Annealing(rc, medium)",9,messi_apprx,,,1.100044519448787e-05,,
19,nytimes-angular-256-289761,"Annealing(rc, medium)",9,messi,,,1.0625,1.0,
0,nytimes-angular-256-289761,"Annealing(rc, hard)",0,messi_apprx,,,1.833407532414645e-05,,
1,nytimes-angular-256-289761,"Annealing(rc, hard)",0,messi,,,1.0625,1.0,
2,nytimes-angular-256-289761,"Annealing(rc, hard)",1,messi_apprx,,,1.100044519448787e-05,,
3,nytimes-angular-256-289761,"Annealing(rc, hard)",1,messi,,,1.0625,1.0,
4,nytimes-angular-256-289761,"Annealing(rc, hard)",2,messi_apprx,,,1.100044519448787e-05,,
5,nytimes-angular-256-289761,"Annealing(rc, hard)",2,messi,,,1.0625,1.0,
6,nytimes-angular-256-289761,"Annealing(rc, hard)",3,messi_apprx,,,1.833407532414645e-05,,
7,nytimes-angular-256-289761,"Annealing(rc, hard)",3,messi,,,1.0625,1.0,
8,nytimes-angular-256-289761,"Annealing(rc, hard)",4,messi_apprx,,,3.66681506482929e-05,,
9,nytimes-angular-256-289761,"Annealing(rc, hard)",4,messi,,,1.0625,1.0,
10,nytimes-angular-256-289761,"Annealing(rc, hard)",5,messi_apprx,,,1.833407532414645e-05,,
11,nytimes-angular-256-289761,"Annealing(rc, hard)",5,messi,,,1.0625,1.0,
12,nytimes-angular-256-289761,"Annealing(rc, hard)",6,messi_apprx,,,1.100044519448787e-05,,
13,nytimes-angular-256-289761,"Annealing(rc, hard)",6,messi,,,1.0625,1.0,
14,nytimes-angular-256-289761,"Annealing(rc, hard)",7,messi_apprx,,,1.833407532414645e-05,,
15,nytimes-angular-256-289761,"Annealing(rc, hard)",7,messi,,,1.0625,1.0,
16,nytimes-angular-256-289761,"Annealing(rc, hard)",8,messi_apprx,,,1.833407532414645e-05,,
17,nytimes-angular-256-289761,"Annealing(rc, hard)",8,messi,,,1.0625,1.0,
18,nytimes-angular-256-289761,"Annealing(rc, hard)",9,messi_apprx,,,1.466726025931716e-05,,
19,nytimes-angular-256-289761,"Annealing(rc, hard)",9,messi,,,1.0625,1.0,
0,sald-128-100m,"Annealing(rc, easy)",0,messi_apprx,,,0.0001321,,
1,sald-128-100m,"Annealing(rc, easy)",0,messi,,,0.038503475,1.0,
2,sald-128-100m,"Annealing(rc, easy)",1,messi_apprx,,,8.4375e-05,,
3,sald-128-100m,"Annealing(rc, easy)",1,messi,,,0.7660558,1.0,
4,sald-128-100m,"Annealing(rc, easy)",2,messi_apprx,,,0.00050355,,
5,sald-128-100m,"Annealing(rc, easy)",2,messi,,,0.05835255,1.0,
6,sald-128-100m,"Annealing(rc, easy)",3,messi_apprx,,,1.2825e-05,,
7,sald-128-100m,"Annealing(rc, easy)",3,messi,,,0.08882565,1.0,
8,sald-128-100m,"Annealing(rc, easy)",4,messi_apprx,,,3.7575e-05,,
9,sald-128-100m,"Annealing(rc, easy)",4,messi,,,1.0547912,1.0,
10,sald-128-100m,"Annealing(rc, easy)",5,messi_apprx,,,0.001592,,
11,sald-128-100m,"Annealing(rc, easy)",5,messi,,,0.165492,1.0,
12,sald-128-100m,"Annealing(rc, easy)",6,messi_apprx,,,1.7775e-05,,
13,sald-128-100m,"Annealing(rc, easy)",6,messi,,,0.1919965,1.0,
14,sald-128-100m,"Annealing(rc, easy)",7,messi_apprx,,,3.9375e-05,,
15,sald-128-100m,"Annealing(rc, easy)",7,messi,,,0.2120536,1.0,
16,sald-128-100m,"Annealing(rc, easy)",8,messi_apprx,,,0.000500625,,
17,sald-128-100m,"Annealing(rc, easy)",8,messi,,,0.5841946,1.0,
18,sald-128-100m,"Annealing(rc, easy)",9,messi_apprx,,,0.0021079,,
19,sald-128-100m,"Annealing(rc, easy)",9,messi,,,0.054582925,1.0,
0,sald-128-100m,"Annealing(rc, medium)",0,messi_apprx,,,0.0001373,,
1,sald-128-100m,"Annealing(rc, medium)",0,messi,,,0.03752575,1.0,
2,sald-128-100m,"Annealing(rc, medium)",1,messi_apprx,,,1.8675e-05,,
3,sald-128-100m,"Annealing(rc, medium)",1,messi,,,0.9824706,1.0,
4,sald-128-100m,"Annealing(rc, medium)",2,messi_apprx,,,0.00055415,,
5,sald-128-100m,"Annealing(rc, medium)",2,messi,,,0.0689528,1.0,
6,sald-128-100m,"Annealing(rc, medium)",3,messi_apprx,,,1.2825e-05,,
7,sald-128-100m,"Annealing(rc, medium)",3,messi,,,0.09626535,1.0,
8,sald-128-100m,"Annealing(rc, medium)",4,messi_apprx,,,0.00020745,,
9,sald-128-100m,"Annealing(rc, medium)",4,messi,,,1.124943,1.0,
10,sald-128-100m,"Annealing(rc, medium)",5,messi_apprx,,,0.001651,,
11,sald-128-100m,"Annealing(rc, medium)",5,messi,,,0.278490425,1.0,
12,sald-128-100m,"Annealing(rc, medium)",6,messi_apprx,,,1.7775e-05,,
13,sald-128-100m,"Annealing(rc, medium)",6,messi,,,0.244609,1.0,
14,sald-128-100m,"Annealing(rc, medium)",7,messi_apprx,,,3.9375e-05,,
15,sald-128-100m,"Annealing(rc, medium)",7,messi,,,0.2835908,1.0,
16,sald-128-100m,"Annealing(rc, medium)",8,messi_apprx,,,0.000335025,,
17,sald-128-100m,"Annealing(rc, medium)",8,messi,,,0.7939032,1.0,
18,sald-128-100m,"Annealing(rc, medium)",9,messi_apprx,,,0.0018767,,
19,sald-128-100m,"Annealing(rc, medium)",9,messi,,,0.03892925,1.0,
0,sald-128-100m,"Annealing(rc, hard)",0,messi_apprx,,,8.6175e-05,,
1,sald-128-100m,"Annealing(rc, hard)",0,messi,,,0.03666315,1.0,
2,sald-128-100m,"Annealing(rc, hard)",1,messi_apprx,,,1.8675e-05,,
3,sald-128-100m,"Annealing(rc, hard)",1,messi,,,1.0390134,1.0,
4,sald-128-100m,"Annealing(rc, hard)",2,messi_apprx,,,0.00049335,,
5,sald-128-100m,"Annealing(rc, hard)",2,messi,,,0.0614019,1.0,
6,sald-128-100m,"Annealing(rc, hard)",3,messi_apprx,,,1.2825e-05,,
7,sald-128-100m,"Annealing(rc, hard)",3,messi,,,0.11359595,1.0,
8,sald-128-100m,"Annealing(rc, hard)",4,messi_apprx,,,1.26e-05,,
9,sald-128-100m,"Annealing(rc, hard)",4,messi,,,1.124993,1.0,
10,sald-128-100m,"Annealing(rc, hard)",5,messi_apprx,,,0.0016538,,
11,sald-128-100m,"Annealing(rc, hard)",5,messi,,,0.28459765,1.0,
12,sald-128-100m,"Annealing(rc, hard)",6,messi_apprx,,,1.7775e-05,,
13,sald-128-100m,"Annealing(rc, hard)",6,messi,,,0.240187,1.0,
14,sald-128-100m,"Annealing(rc, hard)",7,messi_apprx,,,3.9375e-05,,
15,sald-128-100m,"Annealing(rc, hard)",7,messi,,,0.2659058,1.0,
16,sald-128-100m,"Annealing(rc, hard)",8,messi_apprx,,,0.000335025,,
17,sald-128-100m,"Annealing(rc, hard)",8,messi,,,0.83788,1.0,
18,sald-128-100m,"Annealing(rc, hard)",9,messi_apprx,,,0.0021621,,
19,sald-128-100m,"Annealing(rc, hard)",9,messi,,,0.0565009,1.0,
0,astro-256-100m,"Annealing(rc, easy)",0,messi_apprx,,,9.7325e-05,,
1,astro-256-100m,"Annealing(rc, easy)",0,messi,,,1.0612062,1.0,
2,astro-256-100m,"Annealing(rc, easy)",1,messi_apprx,,,2.04e-05,,
3,astro-256-100m,"Annealing(rc, easy)",1,messi,,,1.0625,1.0,
4,astro-256-100m,"Annealing(rc, easy)",2,messi_apprx,,,1.3175e-05,,
5,astro-256-100m,"Annealing(rc, easy)",2,messi,,,1.061909,1.0,
6,astro-256-100m,"Annealing(rc, easy)",3,messi_apprx,,,2.31625e-05,,
7,astro-256-100m,"Annealing(rc, easy)",3,messi,,,1.0625,1.0,
8,astro-256-100m,"Annealing(rc, easy)",4,messi_apprx,,,1.105e-05,,
9,astro-256-100m,"Annealing(rc, easy)",4,messi,,,1.0625,1.0,
10,astro-256-100m,"Annealing(rc, easy)",5,messi_apprx,,,3.08125e-05,,
11,astro-256-100m,"Annealing(rc, easy)",5,messi,,,1.0574636,1.0,
12,astro-256-100m,"Annealing(rc, easy)",6,messi_apprx,,,8.5e-06,,
13,astro-256-100m,"Annealing(rc, easy)",6,messi,,,1.0625,1.0,
14,astro-256-100m,"Annealing(rc, easy)",7,messi_apprx,,,3.825e-06,,
15,astro-256-100m,"Annealing(rc, easy)",7,messi,,,1.0625,1.0,
16,astro-256-100m,"Annealing(rc, easy)",8,messi_apprx,,,1.445e-05,,
17,astro-256-100m,"Annealing(rc, easy)",8,messi,,,1.0619902,1.0,
18,astro-256-100m,"Annealing(rc, easy)",9,messi_apprx,,,9.775e-06,,
19,astro-256-100m,"Annealing(rc, easy)",9,messi,,,1.0625,1.0,
0,astro-256-100m,"Annealing(rc, medium)",0,messi_apprx,,,2.14625e-05,,
1,astro-256-100m,"Annealing(rc, medium)",0,messi,,,1.0611436,1.0,
2,astro-256-100m,"Annealing(rc, medium)",1,messi_apprx,,,1.955e-05,,
3,astro-256-100m,"Annealing(rc, medium)",1,messi,,,1.0625,1.0,
4,astro-256-100m,"Annealing(rc, medium)",2,messi_apprx,,,2.72e-05,,
5,astro-256-100m,"Annealing(rc, medium)",2,messi,,,1.0613544,1.0,
6,astro-256-100m,"Annealing(rc, medium)",3,messi_apprx,,,2.31625e-05,,
7,astro-256-100m,"Annealing(rc, medium)",3,messi,,,1.0625,1.0,
8,astro-256-100m,"Annealing(rc, medium)",4,messi_apprx,,,1.105e-05,,
9,astro-256-100m,"Annealing(rc, medium)",4,messi,,,1.0625,1.0,
10,astro-256-100m,"Annealing(rc, medium)",5,messi_apprx,,,3.08125e-05,,
11,astro-256-100m,"Annealing(rc, medium)",5,messi,,,1.0549926,1.0,
12,astro-256-100m,"Annealing(rc, medium)",6,messi_apprx,,,8.5e-06,,
13,astro-256-100m,"Annealing(rc, medium)",6,messi,,,1.0625,1.0,
14,astro-256-100m,"Annealing(rc, medium)",7,messi_apprx,,,1.02e-05,,
15,astro-256-100m,"Annealing(rc, medium)",7,messi,,,1.0625,1.0,
16,astro-256-100m,"Annealing(rc, medium)",8,messi_apprx,,,5.3125e-06,,
17,astro-256-100m,"Annealing(rc, medium)",8,messi,,,1.0617526,1.0,
18,astro-256-100m,"Annealing(rc, medium)",9,messi_apprx,,,9.775e-06,,
19,astro-256-100m,"Annealing(rc, medium)",9,messi,,,1.0625,1.0,
0,astro-256-100m,"Annealing(rc, hard)",0,messi_apprx,,,2.14625e-05,,
1,astro-256-100m,"Annealing(rc, hard)",0,messi,,,1.0620862,1.0,
2,astro-256-100m,"Annealing(rc, hard)",1,messi_apprx,,,1.72125e-05,,
3,astro-256-100m,"Annealing(rc, hard)",1,messi,,,1.0625,1.0,
4,astro-256-100m,"Annealing(rc, hard)",2,messi_apprx,,,2.04e-05,,
5,astro-256-100m,"Annealing(rc, hard)",2,messi,,,1.0606066,1.0,
6,astro-256-100m,"Annealing(rc, hard)",3,messi_apprx,,,2.31625e-05,,
7,astro-256-100m,"Annealing(rc, hard)",3,messi,,,1.0625,1.0,
8,astro-256-100m,"Annealing(rc, hard)",4,messi_apprx,,,1.105e-05,,
9,astro-256-100m,"Annealing(rc, hard)",4,messi,,,1.0625,1.0,
10,astro-256-100m,"Annealing(rc, hard)",5,messi_apprx,,,3.08125e-05,,
11,astro-256-100m,"Annealing(rc, hard)",5,messi,,,1.0581202,1.0,
12,astro-256-100m,"Annealing(rc, hard)",6,messi_apprx,,,8.5e-06,,
13,astro-256-100m,"Annealing(rc, hard)",6,messi,,,1.0625,1.0,
